
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
Advanced Marketing Services, Inc.                                               	NYSE	Apr-05	MKT
ADVANCED MARKETING TECHNOLY CORP                                                	NASDAQ	May-88	AMTQ
ADVANCED MATERIALS GROUP INC                                                    	NASDAQ	Dec-00	ADMG
Advanced Medical Optics, Inc.                                                   	NYSE	Jun-05	AVO
ADVANCED MEDICAL PRODUCTS INC                                                   	NASDAQ	Feb-95	ADVA
ADVANCED MEDICAL SCIENCES INC                                                   	NASDAQ	Jun-75	ADME
ADVANCED MONITORING SYS INC                                                     	NASDAQ	Mar-88	AMSI
Advanced Neuromodulation Systems, Inc.                                          	NASDAQ	Nov-05	ANSI
ADVANCED NUTRACEUTICALS INC                                                     	NASDAQ	Jun-03	ANII
ADVANCED ORTHOPEDIC TECHS INC                                                   	NASDAQ	Dec-96	AOTI
ADVANCED OXYGEN TECHNOLOGIES INC                                                	NASDAQ	Jul-94	AOXY
Advanced Power Technology, Inc.                                                 	NASDAQ	Apr-06	APTI
ADVANCED PRODUCTS & TECHS INC                                                   	NASDAQ	Feb-90	APTI
ADVANCED PROMOTION TECHS INC                                                    	NASDAQ	May-96	APTV
ADVANCED RADIO TELECOM CORP                                                     	NASDAQ	Mar-01	ARTT
ADVANCED SEMICONDUCTOR ENGR INC                                                 	NYSE	Dec-00	ASX
ADVANCED SURGICAL INC                                                           	NASDAQ	Jan-96	ASUR
ADVANCED SWITCHING COMM INC                                                     	NASDAQ	May-02	ASCX
ADVANCED SYSTEMS INC                                                            	NYSE	Dec-87	ASY
ADVANCED TECHNICAL PRODUCTS INC                                                 	NASDAQ	Jun-02	ATPX
ADVANCED TELECOMMUNICATIONS CORP                                                	NASDAQ	Dec-92	ATEL
ADVANCED THERAPEUTIC SYS LTD                                                    	AMEX	Oct-96	ATH
ADVANCED TISSUE SCIENCES INC                                                    	NASDAQ	Oct-02	ATIS
ADVANCED TOB PRODS INC                                                          	NASDAQ	May-92	ATPI
ADVANCED VOICE TECHNOLOGIES INC                                                 	NASDAQ	Jul-97	HMWK
ADVANT CORP                                                                     	NASDAQ	Oct-82	AVNT
ADVANTAGE BANCORP INC                                                           	NASDAQ	Apr-98	AADV
ADVANTAGE COMPANIES INC DEL                                                     	NASDAQ	Jan-96	ADVG
ADVANTAGE HEALTH CORP                                                           	NASDAQ	Mar-96	ADHC
ADVANTAGE LIFE PRODUCTS INC                                                     	NASDAQ	Mar-98	ADVT
ADVANTICA RESTAURANT GROUP INC                                                  	NASDAQ	Jan-01	DINE
ADVATEX ASSOCIATES INC                                                          	NASDAQ	Jul-92	ADTX
ADVENT CORP                                                                     	NASDAQ	Apr-81	ADVN
ADVENT TECHNOLOGIES INC                                                         	NASDAQ	Sep-95	AVTI
ADVENTURE LANDS OF AMERICA INC                                                  	NASDAQ	Oct-85	ADLA
ADVERTISING UNLIMITED LTD                                                       	NASDAQ	Oct-87	AUNL
ADVEST GROUP INC                                                                	NYSE	Jan-01	ADV
ADVISORS CAPITAL TECHNOLOGY CORP                                                	NASDAQ	Oct-89	ADCA
ADVOCAT INC                                                                     	NYSE	Nov-99	AVC
AEGIS COMMUNICATIONS GROUP INC                                                  	NASDAQ	Sep-99	AGIS
AEGIS CONSUMER FUNDING GP INC                                                   	NASDAQ	Feb-98	ACAR
AEGIS CORP                                                                      	AMEX	Nov-84	AO
AEGIS GROUP PLC                                                                 	NASDAQ	Oct-92	AEGSY
AEGIS INDUSTRIES INC                                                            	NASDAQ	Apr-90	AGIS
AEGIS REALTY INC                                                                	AMEX	Mar-03	AER
AEQUITRON MEDICAL INC                                                           	NASDAQ	Dec-96	AQTN
AERIAL COMMUNICATIONS INC                                                       	NASDAQ	May-00	AERL
AERO FLOW DYNAMICS INC                                                          	AMEX	Jan-83	AER
AERO SERVICES INTERNATIONAL INC                                                 	NASDAQ	Apr-88	AERO
AERO SYSTEMS ENGINEERING INC                                                    	NASDAQ	Dec-03	AERS
AERO SYSTEMS INC                                                                	NASDAQ	Jul-93	AESM
AEROCENTURY CORP                                                                	NYSE	Dec-05	ACY
AERODEX INC                                                                     	AMEX	Jun-75	AOX
AeroGen, Inc.                                                                   	NASDAQ	Aug-05	AEGN
AEROJET GENERAL CORP                                                            	AMEX	Nov-72	AJT
AERONCA INC                                                                     	AMEX	Sep-86	ARN
AEROQUIP CORP                                                                   	NYSE	Sep-68	AQP
AEROQUIP VICKERS INC                                                            	NYSE	Apr-99	ANV
AEROTRON INC                                                                    	NASDAQ	Jan-80	n/a
AEROVOX CORP                                                                    	AMEX	Jun-73	AVX
AEROVOX INC                                                                     	NASDAQ	Jun-01	ARVX
AETNA INC                                                                       	NYSE	Dec-00	AET
Aetna Inc.                                                                      	NYSE	Jun-06	AEF
AETNA STD ENG CO                                                                	NYSE	Feb-59	n/a
AFFILIATED BANC CORP                                                            	NASDAQ	Oct-91	ABCV
AFFILIATED BANKSHARES COLO INC                                                  	NASDAQ	Oct-92	AFBK
AFFILIATED CAPITAL CORP                                                         	AMEX	Jan-82	AFD
AFFILIATED COMMUNITY BANCORP INC                                                	NASDAQ	Aug-98	AFCB
AFFILIATED GAS EQUIP INC                                                        	NYSE	Feb-55	n/a
AFFILIATED HOSPITAL PRODS INC                                                   	AMEX	Feb-85	AFH
