
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
ADDINGTON RESOURCES INC                                                         	NASDAQ	Dec-96	ADDR
ADDISON WESLEY PUBG INC                                                         	NASDAQ	Mar-88	ADSN
ADDITIVE TECHNOLOGY CORP                                                        	NASDAQ	Aug-85	ADTC
ADDMASTER CORP                                                                  	NASDAQ	Jun-90	ADDC
ADELPHIA BUSINESS SOLUTIONS INC                                                 	NASDAQ	Apr-02	ABIZ
ADELPHIA COMMUNICATIONS CORP                                                    	NASDAQ	May-02	ADLA
ADEPT TECHNOLOGY INC                                                            	NASDAQ	Apr-03	ADTK
ADESA CORP                                                                      	NASDAQ	Jun-95	SOLD
ADFLEX SOLUTIONS INC                                                            	NASDAQ	Sep-99	AFLX
ADFORCE INC                                                                     	NASDAQ	Jan-00	ADFC
Adherex Technologies Inc.                                                       	NYSE	Sep-05	ADH
ADIA SERVICES INC                                                               	NASDAQ	Jan-95	ADIA
ADLEY CORP                                                                      	NASDAQ	Aug-73	n/a
ADMAC INC                                                                       	NASDAQ	May-88	JPAC
ADMAR GROUP INC                                                                 	NASDAQ	Mar-96	ADMR
ADMIRAL CORP                                                                    	NYSE	Apr-74	ADL
ADMIRAL FINANCIAL CORP                                                          	NASDAQ	Sep-89	ADFC
ADMIRAL INTERNATIONAL ENTRP CORP                                                	AMEX	Dec-73	AIE
ADMIRALTY BANCORP INC                                                           	NASDAQ	Jan-03	AAAB
ADOBE BUILDING CTRS INC                                                         	NASDAQ	Oct-78	ADBE
ADOBE CORP                                                                      	AMEX	Dec-73	ADO
ADOBE OIL & GAS CORP                                                            	AMEX	Oct-85	AOI
ADOBE RESOURCES CORP                                                            	NYSE	May-92	ADB
Adolph Coors Company                                                            	NYSE	Feb-05	RKY
ADRIAN RESOURCES LTD                                                            	NASDAQ	Apr-99	ADLRF
ADRIEN ARPEL INC                                                                	AMEX	Dec-98	RPL
AdStar, Inc. - Warrants                                                         	NASDAQ	Dec-04	ADSTW
ADTEC INC                                                                       	NASDAQ	Oct-92	JAIL
ADVACARE INC                                                                    	NASDAQ	Nov-94	AVCR
ADVANCE CIRCUITS INC                                                            	NASDAQ	Oct-95	ADVC
ADVANCE DISPLAY TECHNOLOGIES INC                                                	NASDAQ	May-90	ADTI
Advance Financial Bancorp                                                       	NASDAQ	Dec-04	AFBC
ADVANCE INVESTORS CORP                                                          	NYSE	Aug-76	AIV
ADVANCE P C S                                                                   	NASDAQ	Mar-04	ADVP
ADVANCE ROSS CORP NEW                                                           	NASDAQ	Jan-96	AROS
ADVANCE RUMELY CORP                                                             	NYSE	Jun-38	n/a
ADVANCED AERODYNAMICS STRUC INC                                                 	NASDAQ	Apr-01	AASI
ADVANCED CELLULAR TECHNOLOGY                                                    	NASDAQ	Nov-86	ACTH
ADVANCED CHEMICAL TECHNOLOGY                                                    	NASDAQ	Aug-81	ACTC
ADVANCED COMM SYSTEMS INC                                                       	NASDAQ	Feb-00	ACSC
ADVANCED COMMUNICATIONS INC                                                     	NASDAQ	Oct-86	ADCIA
ADVANCED COMPUTER TECHNIQUES                                                    	NASDAQ	Jul-91	ACTP
ADVANCED DEPOSITION TECH INC                                                    	NASDAQ	Apr-01	ADTC
ADVANCED DIGITAL SYS INC                                                        	NASDAQ	Oct-73	n/a
ADVANCED ENERGY CORP                                                            	NASDAQ	Sep-86	AVEC
Advanced Energy Industries, Inc.                                                	NASDAQ	Aug-05	AEISE
ADVANCED ENERGY RESOURCES INC                                                   	NASDAQ	Feb-85	AERI
Advanced Environmental Recycling Technologies, Inc.                             	NASDAQ	Jun-06	AERTA
ADVANCED FIBRE COMM INC                                                         	NASDAQ	Nov-04	AFCI
ADVANCED FINANCIAL INC                                                          	AMEX	Dec-96	AVF
ADVANCED FUEL SYS INC                                                           	NASDAQ	Aug-83	AFSI
ADVANCED GENETIC SCIENCES INC                                                   	NASDAQ	Nov-88	AGSI
ADVANCED GRAVIS COMPUT TECH LTD                                                 	NASDAQ	Jun-92	GRVSF
ADVANCED INSTITUTIONAL MGT SW IN                                                	NASDAQ	Mar-89	AIMS
ADVANCED INTERVENTIONAL SYS INC                                                 	NASDAQ	Jun-94	LAIS
ADVANCED LIGHTING TECHS INC                                                     	NASDAQ	Jan-03	ADLT
ADVANCED LOGIC RESEARCH INC                                                     	NASDAQ	Jul-97	AALR
ADVANCED LOGIC SYS INC                                                          	NASDAQ	Jun-87	ADVL
ADVANCED MACHINE VISION CORP                                                    	NASDAQ	Jul-00	AMVC
Advanced Magnetics, Inc.                                                        	AMEX	Jun-06	AVM
ADVANCED MAMMOGRAPHY SYSTEMS INC                                                	NASDAQ	Nov-97	MAMO
ADVANCED MANUFACTURING SYSTEMS                                                  	NASDAQ	Oct-90	AVMS
